model,kernel,PrAtRc_0.05,PrAtRc_0.1,PrAtRc_0.2,PrAtRc_0.4,PrAtRc_0.6,PrAtRc_0.8
PatMatNP(0.01),LinearKernel,63.66666666666667,60.29775099260636,58.735251528192705,57.74919692027244,53.32342155112251,48.42233404624983
PatMatNP(0.05),LinearKernel,54.0479302832244,60.91190828855207,63.31598498789541,55.23554024168898,52.553355487769544,48.30287094329816
PatMatNP(0.1),LinearKernel,57.02472583642079,61.24093544108838,62.48674068843246,63.109834638779546,59.909344258342074,52.135595733820196
TopPush,LinearKernel,79.82658340100633,64.26636744653311,65.54709840322123,61.85348811345798,57.89330723570656,51.83296882511168
TopPushK(1),LinearKernel,79.52410306222836,64.8714653967638,66.53658510699366,63.6724677297171,60.39755195890518,53.469501936244754
TopPushK(10),LinearKernel,60.63289760348586,61.971198712791626,59.68997583690623,56.88890066162794,54.40323015800569,49.82648858484062
TopPushK(5),LinearKernel,73.96455780648182,65.41138780491076,64.82453974249975,60.28097980873497,56.942218306801145,50.52398813109687
PatMatNP(0.01),SquaredExponentialKernel,89.64705882352942,89.11151641479937,86.74970188789455,80.76502899108155,75.43982780323171,65.95488166472663
PatMatNP(0.05),SquaredExponentialKernel,80.76923076923077,81.28355899419729,85.7409202901857,82.92457681420379,74.90879872627173,65.03688890792094
PatMatNP(0.1),SquaredExponentialKernel,81.2987012987013,84.14147286821705,82.58193871776214,83.11861644635994,77.82042548980532,66.50402374968297
TopPush,SquaredExponentialKernel,97.5,86.05813953488372,81.28469079939669,76.14930471197752,71.13240283235898,60.17233232118416
TopPushK(1),SquaredExponentialKernel,97.5,86.05813953488372,81.28469079939669,76.10112819321276,70.89580569074819,60.43721327356511
TopPushK(10),SquaredExponentialKernel,89.5,87.55813953488372,83.15369444338411,79.08594423104222,71.88109435975784,59.2729851199195
TopPushK(5),SquaredExponentialKernel,92.5,87.55813953488372,85.31226221832017,78.47460271484108,70.77278414838932,57.09656943169299
